205.00;0.1561;13
205.50;0.1506;13
206.00;0.1472;13
206.50;0.1436;13
207.00;0.1397;13
207.50;0.1367;13
208.00;0.1326;13
208.50;0.1299;13
209.00;0.1253;13
209.50;0.1232;13
210.00;0.1202;13
210.50;0.1173;13
205.00;0.1650;6
205.50;0.1587;6
206.00;0.1499;6
206.50;0.1466;6
207.00;0.1379;6
207.50;0.1365;6
208.00;0.1309;6
208.50;0.1311;6
209.00;0.1261;6
209.50;0.1221;6
210.00;0.1160;6
210.50;0.1138;6
205.00;0.1530;20
205.50;0.1505;20
206.00;0.1471;20
206.50;0.1441;20
207.00;0.1415;20
207.50;0.1388;20
208.00;0.1349;20
208.50;0.1327;20
209.00;0.1303;20
209.50;0.1276;20
210.00;0.1250;20
210.50;0.1215;20
